knapPI_13_50_1000_1
n 50
c 970
z 1989
time 0.00
1,234,114,1
2,39,19,0
3,1053,873,0
4,351,291,0
5,585,485,0
6,78,38,0
7,117,97,0
8,234,194,0
9,312,152,0
10,156,76,0
11,156,76,0
12,273,133,0
13,351,291,0
14,351,291,0
15,312,152,0
16,468,388,0
17,156,76,1
18,585,485,0
19,468,388,0
20,1053,873,0
21,702,582,0
22,1053,873,0
23,819,679,0
24,234,194,0
25,39,19,1
26,1170,970,0
27,234,194,0
28,234,194,0
29,351,291,0
30,936,776,0
31,468,388,0
32,351,171,1
33,351,171,1
34,156,76,1
35,351,171,0
36,390,190,1
37,468,388,0
38,156,76,0
39,312,152,0
40,390,190,0
41,468,388,0
42,702,582,0
43,234,114,1
44,1170,970,0
45,195,95,0
46,117,97,0
47,351,291,0
48,936,776,0
49,585,485,0
50,78,38,1
